Race,,Dist,1000,Time,270.36
Split,Time,Secs,Vel,SR,
25,7.9,7.9,3.16,104.5,
50,13.94,6.03,4.14,107.53,
75,19.86,5.92,4.22,106.51,
100,25.69,5.82,4.29,104.71,
125,31.7,6.02,4.16,102.47,
150,37.89,6.19,4.04,99.45,
175,44.26,6.38,3.92,101.35,
200,50.8,6.53,3.83,100,
225,57.17,6.37,3.92,96.95,
250,63.98,6.82,3.67,96.93,
275,70.76,6.78,3.69,96.15,
300,77.59,6.83,3.66,93.43,
325,84.36,6.77,3.69,91.88,
350,91.2,6.84,3.66,92.94,
375,97.86,6.66,3.75,91.19,
400,104.67,6.81,3.67,91.68,
425,111.7,7.03,3.56,90.63,
450,118.77,7.07,3.54,91.06,
475,125.79,7.02,3.56,90.09,
500,132.77,6.98,3.58,91.53,
525,139.68,6.91,3.62,90.36,
550,146.5,6.82,3.66,90.45,
575,153.24,6.74,3.71,89.11,
600,160.35,7.11,3.52,90.5,
625,167.33,6.98,3.58,89.7,
650,174.25,6.92,3.61,90.23,
675,181.47,7.22,3.46,90.09,
700,188.51,7.04,3.55,90,
725,195.3,6.79,3.68,88.52,
750,202.14,6.84,3.65,89.85,
775,209.29,7.15,3.5,90.23,
800,216.29,6.99,3.57,90.36,
825,223.19,6.91,3.62,92.78,
850,229.88,6.69,3.74,94.34,
875,236.65,6.77,3.69,94.08,
900,243.5,6.85,3.65,94.79,
925,250.01,6.51,3.84,94.57,
950,256.97,6.96,3.59,95.65,
975,263.73,6.77,3.69,99.83,
1000,270.35,6.62,3.78,101.52,
Av,,6.76,3.71,94.7,
