Race,,Dist,1000m,Time,03:31.3
Split,Time,Secs,Vel,SR,
25,6.63,6.63,3.77,129.78,
50,10.93,4.29,5.82,142.48,
75,15.21,4.28,5.84,135.34,
100,19.63,4.42,5.65,127.32,
125,24.14,4.51,5.54,121.9,
150,28.8,4.66,5.37,117.07,
175,33.5,4.7,5.32,114.56,
200,38.28,4.78,5.23,112.15,
225,43.1,4.82,5.19,111.89,
250,48.03,4.93,5.07,112.41,
275,53.07,5.04,4.96,108.6,
300,58.16,5.09,4.91,106.67,
325,01:03.3,5.11,4.89,105.26,
350,01:08.5,5.27,4.74,102.56,
375,01:13.9,5.32,4.7,102.78,
400,01:19.2,5.36,4.67,98.56,
425,01:24.6,5.41,4.62,97.56,
450,01:30.1,5.44,4.6,96.39,
475,01:35.5,5.42,4.61,95.89,
500,01:41.0,5.46,4.58,96.19,
525,01:46.4,5.48,4.56,93.54,
550,01:52.0,5.51,4.54,93.2,
575,01:57.5,5.52,4.53,95.81,
600,02:03.0,5.5,4.54,92.11,
625,02:08.5,5.51,4.54,93.39,
650,02:14.0,5.53,4.52,93.54,
675,02:19.5,5.52,4.53,93.39,
700,02:25.1,5.52,4.53,91.11,
725,02:30.6,5.52,4.53,92.13,
750,02:36.2,5.58,4.48,91.3,
775,02:41.7,5.52,4.53,92.49,
800,02:47.3,5.64,4.43,93.39,
825,02:52.9,5.57,4.49,92.31,
850,02:58.5,5.57,4.49,89.17,
875,03:04.0,5.51,4.53,90.23,
900,03:09.5,5.54,4.51,91.7,
925,03:14.9,5.38,4.64,93.75,
950,03:20.3,5.41,4.62,93.96,
975,03:25.7,5.42,4.61,95.81,
1000,03:31.3,5.6,4.47,96.77,
Av,,5.28,4.77,102.36,
