Race,,Dist,500m,Time,01:34.5
Split,Time,Secs,Vel,SR,
25,6.25,6.25,4,132.84,
50,10.4,4.15,6.02,148.35,
75,14.28,3.88,6.45,133.7,
100,18.41,4.13,6.06,137.14,
125,22.68,4.28,5.85,129.73,
150,27.09,4.41,5.67,126.17,
175,31.61,4.51,5.54,123.08,
200,36.19,4.58,5.45,120,
225,40.6,4.41,5.67,118.23,
250,45.43,4.84,5.17,116.22,
275,50.26,4.83,5.18,116.79,
300,55.14,4.88,5.12,115.94,
325,01:00.0,4.86,5.14,114.65,
350,01:04.9,4.9,5.1,114.29,
375,01:09.5,4.63,5.39,111.89,
400,01:14.5,4.93,5.07,115.11,
425,01:19.4,4.88,5.12,116.5,
450,01:24.3,4.91,5.09,117.9,
475,01:29.2,4.96,5.04,117.65,
500,01:34.5,5.23,4.79,114.44,
Av,,4.72,5.35,122.03,
