Race,,Dist,500,Time,111.17
Split,Time,Secs,Vel,SR,
25,6.82,6.82,3.66,135.7,
50,11.63,4.8,5.2,137.93,
75,16.46,4.84,5.17,131,
100,21.49,5.03,4.97,125.58,
125,26.55,5.06,4.95,122.2,
150,31.63,5.08,4.92,121.62,
175,36.88,5.25,4.76,118.68,
200,42.25,5.37,4.66,117.88,
225,47.63,5.38,4.64,116.13,
250,53.11,5.48,4.56,114.5,
275,58.67,5.56,4.5,115.61,
300,64.34,5.67,4.41,115.83,
325,70.12,5.78,4.33,114.07,
350,76.01,5.89,4.25,111.11,
375,81.92,5.91,4.23,111.32,
400,87.67,5.76,4.34,112.15,
425,93.46,5.78,4.32,112.78,
450,99.3,5.84,4.28,112.78,
475,105.19,5.89,4.24,112.57,
500,111.16,5.98,4.19,109.69,
Av,,5.56,4.53,118.46,
