Race,,Dist,500,Time,116.17
Split,Time,Secs,Vel,SR,
25,7.2,7.2,3.47,120.34,
50,12.09,4.89,5.12,125.29,
75,17.11,5.02,4.98,117.14,
100,22.33,5.22,4.79,111.8,
125,27.67,5.34,4.68,109.31,
150,33.14,5.47,4.57,107.62,
175,38.69,5.55,4.5,107.14,
200,44.38,5.69,4.4,105.68,
225,50.03,5.65,4.42,105.26,
250,55.84,5.81,4.3,104.65,
275,61.83,5.98,4.18,103.25,
300,67.76,5.93,4.21,103.85,
325,73.73,5.97,4.19,101.18,
350,79.69,5.96,4.2,100,
375,85.58,5.89,4.25,102.56,
400,91.6,6.02,4.15,101.12,
425,97.68,6.09,4.11,100.56,
450,103.75,6.07,4.12,100.56,
475,109.86,6.11,4.09,102.21,
500,116.16,6.3,3.98,100.37,
Av,,5.81,4.33,106.5,
