Race,,Dist,500m,Time,01:45.3
Split,Time,Secs,Vel,SR,
25,7.35,7.35,3.4,120,
50,11.84,4.49,5.56,146,
75,16.27,4.43,5.64,141,
100,20.83,4.55,5.49,135,
125,25.54,4.72,5.3,128,
150,30.46,4.92,5.09,124,
175,35.49,5.03,4.97,123,
200,40.57,5.08,4.92,120,
225,45.80,5.24,4.77,118,
250,51.07,5.27,4.74,117,
275,56.52,5.44,4.59,114,
300,01:02.0,5.49,4.55,112,
325,01:07.6,5.54,4.51,113,
350,01:12.9,5.40,4.63,114,
375,01:18.3,5.30,4.71,118,
400,01:23.6,5.32,4.7,117,
425,01:28.9,5.31,4.71,116,
450,01:34.3,5.42,4.62,116,
475,01:39.8,5.50,4.54,115,
500,01:45.3,5.55,4.51,116,
Av,,5.27,4.8,121,
,,,,,
