Race,,Dist,500,Time,104.25
Split,Time,Secs,Vel,SR,
25,6.35,6.35,3.94,129.35,
50,10.67,4.32,5.79,141.36,
75,15.32,4.65,5.37,128.27,
100,20.19,4.87,5.14,123.29,
125,24.97,4.78,5.23,123.29,
150,29.95,4.99,5.01,123.29,
175,34.79,4.84,5.17,119.47,
200,39.81,5.02,4.98,119.73,
225,44.84,5.03,4.97,116.13,
250,50.08,5.25,4.77,116.13,
275,55.26,5.18,4.82,114.89,
300,60.59,5.32,4.7,115.63,
325,65.8,5.21,4.8,114.16,
350,71.05,5.25,4.76,114.89,
375,76.43,5.38,4.65,115.61,
400,81.68,5.26,4.76,113.92,
425,87.1,5.42,4.62,114.41,
450,92.65,5.56,4.5,112.73,
475,98.3,5.65,4.43,111.11,
500,104.25,5.95,4.21,109.09,
Av,,5.21,4.83,118.84,
