Race,,Dist,500,Time,112.84
Split,Time,Secs,Vel,SR,
25,7.18,7.18,3.48,115.9,
50,12.06,4.88,5.12,127.66,
75,16.97,4.91,5.09,123.85,
100,21.97,5,5,121.95,
125,27.1,5.13,4.87,118.16,
150,32.37,5.27,4.74,117.9,
175,37.82,5.45,4.59,114.41,
200,43.34,5.52,4.53,113.21,
225,49.01,5.67,4.41,112.03,
250,54.7,5.7,4.39,111.52,
275,60.39,5.69,4.4,111.11,
300,66.2,5.81,4.3,109.09,
325,72.02,5.82,4.3,108.7,
350,77.9,5.89,4.24,109.76,
375,83.7,5.79,4.32,109.69,
400,89.45,5.76,4.34,108.87,
425,95.3,5.84,4.28,110.5,
450,101.11,5.82,4.3,111.94,
475,106.95,5.84,4.28,108.87,
500,112.84,5.88,4.25,107.14,
Av,,5.64,4.46,113.61,
