Race,,Dist,500,Time,126.54
Split,Time,Secs,Vel,SR,
25,7.22,7.22,3.46,118.18,
50,12.56,5.34,4.68,125.71,
75,18.02,5.46,4.58,123.97,
100,23.54,5.52,4.53,120,
125,29.22,5.67,4.41,115.83,
150,35.07,5.85,4.27,114.29,
175,41.07,6,4.17,112.99,
200,47.16,6.09,4.11,110.09,
225,53.38,6.22,4.02,106.76,
250,59.78,6.4,3.91,106.11,
275,66.24,6.46,3.87,104.71,
300,72.76,6.52,3.84,105.08,
325,79.46,6.7,3.73,103.77,
350,86.22,6.76,3.7,102.56,
375,92.88,6.66,3.75,101.85,
400,99.51,6.63,3.77,101.01,
425,106.29,6.78,3.69,101.85,
450,113.04,6.75,3.7,101.52,
475,119.71,6.67,3.75,100.33,
500,126.55,6.84,3.66,99.34,
Av,,6.33,3.98,108.8,
