Race,,Dist,500,Time,01:38.7
Split,Time,Secs,Vel,SR,
25,6.5,6.5,3.85,122.64,
50,10.77,4.27,5.85,142.48,
75,15.01,4.24,5.9,138.11,
100,19.38,4.37,5.72,133.7,
125,23.9,4.52,5.53,128.88,
150,28.53,4.64,5.39,125.29,
175,33.3,4.76,5.25,123.01,
200,38.18,4.88,5.12,122.17,
225,43.11,4.93,5.07,120.91,
250,48.1,4.99,5.01,120.54,
275,53.15,5.06,4.94,118.68,
300,58.25,5.1,4.91,119.76,
325,01:03.3,5.06,4.95,120.54,
350,01:08.3,5.01,4.99,123.57,
375,01:13.3,4.95,5.05,127.66,
400,01:18.2,4.91,5.09,127.96,
425,01:23.1,4.95,5.05,127.39,
450,01:28.1,5.03,4.97,127.36,
475,01:33.4,5.19,4.81,126.32,
500,01:38.7,5.33,4.68,122.7,
Av,,4.93,5.11,125.98,
