Race,,Dist,1000,Time,03:31.8
Split,Time,Secs,Vel,SR,
25,6.4,6.4,3.91,141.82,
50,10.58,4.18,5.98,147.54,
75,14.92,4.34,5.76,139.53,
100,19.4,4.49,5.57,131.39,
125,24.08,4.68,5.34,125.87,
150,28.86,4.78,5.23,120.91,
175,33.76,4.9,5.1,117.9,
200,38.79,5.03,4.97,114.89,
225,43.83,5.04,4.96,114.01,
250,48.93,5.11,4.9,112.73,
275,54.09,5.16,4.85,111.8,
300,59.27,5.18,4.82,111.37,
325,01:04.5,5.22,4.79,111.11,
350,01:09.8,5.26,4.75,109.53,
375,01:15.0,5.29,4.73,109.34,
400,01:20.3,5.28,4.74,111.11,
425,01:25.6,5.28,4.73,109.98,
450,01:30.9,5.31,4.71,109.34,
475,01:36.3,5.41,4.62,107.78,
500,01:41.7,5.42,4.61,108.65,
525,01:47.2,5.41,4.62,107.57,
550,01:52.6,5.44,4.6,107.38,
575,01:58.0,5.41,4.62,108.22,
600,02:03.4,5.41,4.62,107.57,
625,02:08.9,5.51,4.54,105.96,
650,02:14.4,5.48,4.56,105.88,
675,02:19.9,5.46,4.58,107.57,
700,02:25.3,5.48,4.56,106.09,
725,02:30.9,5.53,4.52,106.67,
750,02:36.4,5.53,4.52,107.36,
775,02:41.9,5.52,4.53,108.43,
800,02:47.4,5.43,4.61,109.76,
825,02:52.8,5.45,4.59,112.27,
850,02:58.3,5.49,4.56,110.66,
875,03:03.8,5.54,4.51,110.5,
900,03:09.4,5.61,4.46,110.2,
925,03:15.0,5.59,4.48,110.43,
950,03:20.6,5.59,4.47,114.29,
975,03:26.1,5.49,4.56,114.89,
1000,03:31.8,5.68,4.41,113.64,
Av,,5.29,4.75,113.8,
