Race,,Dist,1000,Time,03:12.7
Split,Time,Secs,Vel,SR,
25,6.18,6.18,4.04,132.43,
50,10.15,3.97,6.3,147.54,
75,14.12,3.96,6.31,142.01,
100,18.14,4.03,6.21,137.54,
125,22.27,4.12,6.06,137.06,
150,26.43,4.16,6,133.7,
175,30.72,4.29,5.83,132.6,
200,35.04,4.32,5.79,131.39,
225,39.45,4.41,5.67,128.69,
250,43.87,4.43,5.65,126.76,
275,48.36,4.49,5.57,128,
300,52.93,4.57,5.47,126.17,
325,57.55,4.62,5.41,123.39,
350,01:02.2,4.65,5.37,121.35,
375,01:06.9,4.72,5.3,121.21,
400,01:11.7,4.77,5.24,120.81,
425,01:16.5,4.82,5.19,119.4,
450,01:21.3,4.81,5.19,119.21,
475,01:26.2,4.84,5.16,117.9,
500,01:31.0,4.87,5.14,118.52,
525,01:36.0,4.92,5.09,117.9,
550,01:40.9,4.91,5.09,118.68,
575,01:45.8,4.91,5.1,117.65,
600,01:50.7,4.93,5.07,117.14,
625,01:55.7,4.98,5.02,117.14,
650,02:00.7,4.98,5.02,118.52,
675,02:05.7,5.04,4.96,120.27,
700,02:10.7,4.98,5.02,120,
725,02:15.7,4.98,5.02,120,
750,02:20.7,5.03,4.97,120.54,
775,02:25.8,5.07,4.93,120.81,
800,02:30.8,5.03,4.97,121.21,
825,02:35.8,5,5,122.45,
850,02:40.8,5,5,123.29,
875,02:45.8,5.04,4.96,124.74,
900,02:50.9,5.09,4.91,125.87,
925,02:56.2,5.32,4.7,122.45,
950,03:01.5,5.32,4.7,121.46,
975,03:06.9,5.4,4.63,118.58,
1000,03:12.7,5.81,4.31,106.87,
Av,,4.82,5.23,124.03,
