Race,,Dist,500,Time,120.22
Split,Time,Secs,Vel,SR,
25,7.8,7.8,3.21,125.56,
50,13.11,5.31,4.71,136.62,
75,18.56,5.45,4.59,130.95,
100,24.06,5.49,4.55,125.79,
125,29.82,5.76,4.34,121.55,
150,35.62,5.8,4.31,118.58,
175,41.47,5.85,4.27,116.81,
200,47.37,5.9,4.24,115.83,
225,53.34,5.97,4.18,116.2,
250,59.28,5.94,4.21,114.72,
275,65.28,5.99,4.17,114.29,
300,71.39,6.12,4.09,115.18,
325,77.51,6.12,4.09,114.38,
350,83.62,6.11,4.09,113.42,
375,89.74,6.12,4.09,111.68,
400,95.73,5.99,4.17,112.57,
425,101.8,6.07,4.12,112.78,
450,107.93,6.13,4.08,110.74,
475,114.1,6.18,4.05,112.15,
500,120.23,6.12,4.08,112.63,
Av,,6.01,4.18,117.62,
