Race,,Dist,500,Time,121.36
Split,Time,Secs,Vel,SR,
25,7.77,7.77,3.22,128.21,
50,13.22,5.45,4.59,140.9,
75,18.71,5.48,4.56,138.36,
100,24.31,5.61,4.46,129.92,
125,30.1,5.79,4.32,125.48,
150,35.85,5.75,4.35,122.68,
175,41.67,5.82,4.29,120.88,
200,47.5,5.83,4.29,118.11,
225,53.47,5.97,4.19,115.38,
250,59.54,6.07,4.12,114.5,
275,65.65,6.11,4.09,113.4,
300,71.76,6.11,4.09,113.79,
325,77.83,6.08,4.12,112.15,
350,83.93,6.1,4.1,112.57,
375,90.11,6.18,4.05,112.44,
400,96.34,6.23,4.01,111.32,
425,102.52,6.18,4.04,110,
450,108.71,6.19,4.04,110.7,
475,115,6.28,3.98,110.74,
500,121.37,6.37,3.93,111.11,
Av,,6.07,4.14,118.63,
