Race,,Dist,500,Time,02:10.7
Split,Time,Secs,Vel,SR,
25,7.92,7.92,3.16,110.96,
50,13.75,5.83,4.29,115.16,
75,19.63,5.88,4.25,115.38,
100,25.63,6,4.16,110.7,
125,31.79,6.16,4.06,107.91,
150,38.13,6.33,3.95,104.6,
175,44.19,6.06,4.12,105.88,
200,50.37,6.18,4.05,104.17,
225,56.67,6.3,3.97,102.74,
250,01:03.0,6.36,3.93,102.66,
275,01:09.4,6.41,3.9,102.96,
300,01:15.8,6.35,3.94,102.27,
325,01:22.3,6.54,3.82,100,
350,01:29.2,6.82,3.66,99.4,
375,01:36.0,6.89,3.63,98.52,
400,01:42.8,6.72,3.72,99.34,
425,01:49.6,6.87,3.64,97.72,
450,01:56.6,6.97,3.59,97.49,
475,02:03.6,7.04,3.55,97.4,
500,02:10.7,7.06,3.54,96.93,
Av,,6.54,3.85,103.61,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
