Race,,Dist,500,Time,126.4
Split,Time,Secs,Vel,SR,
25,7.28,7.28,3.44,127.12,
50,12.56,5.29,4.73,139.83,
75,17.89,5.33,4.69,132.8,
100,23.46,5.57,4.49,126.68,
125,29.25,5.79,4.32,123.83,
150,35.13,5.88,4.25,121.32,
175,41.1,5.97,4.19,114.94,
200,47.27,6.17,4.05,110.29,
225,53.53,6.26,4,109.09,
250,59.89,6.35,3.93,107.91,
275,66.33,6.45,3.88,106.8,
300,72.89,6.55,3.81,108.89,
325,79.25,6.36,3.93,108.91,
350,85.83,6.59,3.8,108.55,
375,92.41,6.57,3.8,110.37,
400,98.97,6.56,3.81,109.82,
425,105.72,6.75,3.7,108.2,
450,112.77,7.05,3.55,104.43,
475,119.65,6.88,3.64,108.93,
500,126.4,6.75,3.71,108.91,
Av,,6.32,3.99,114.88,
