Race,,Dist,1000,Time,03:13.9
Split,Time,Secs,Vel,SR,
25,6.45,6.45,3.88,130,
50,10.67,4.23,5.92,138.11,
75,14.83,4.16,6.01,134,
100,19.04,4.2,5.95,131.51,
125,23.36,4.32,5.78,128,
150,27.78,4.42,5.66,125.65,
175,32.25,4.47,5.6,122.45,
200,36.84,4.59,5.45,120.27,
225,41.39,4.56,5.49,120.6,
250,46,4.6,5.43,118.23,
275,50.78,4.78,5.23,117.07,
300,55.62,4.84,5.17,114.83,
325,01:00.5,4.88,5.13,113.45,
350,01:05.5,4.96,5.04,112.68,
375,01:10.4,4.96,5.04,112.68,
400,01:15.3,4.92,5.08,110.34,
425,01:20.3,5.01,4.99,110.43,
450,01:25.3,4.98,5.02,111.63,
475,01:30.3,5.01,4.99,110.34,
500,01:35.4,5.04,4.96,110.34,
525,01:40.3,4.97,5.03,112.5,
550,01:45.2,4.89,5.11,112.94,
575,01:50.2,4.94,5.06,112.94,
600,01:55.2,4.99,5.01,112.97,
625,02:00.1,4.9,5.1,114.29,
650,02:05.0,4.92,5.08,112.68,
675,02:10.0,4.98,5.02,111.89,
700,02:15.0,4.99,5.01,113.21,
725,02:19.9,4.92,5.08,116.22,
750,02:24.8,4.96,5.04,115.38,
775,02:29.8,4.98,5.02,115.88,
800,02:34.7,4.9,5.1,116.5,
825,02:39.7,4.94,5.06,116.38,
850,02:44.6,4.9,5.1,115.66,
875,02:49.5,4.91,5.09,117.39,
900,02:54.3,4.84,5.16,119.11,
925,02:59.2,4.85,5.16,119.47,
950,03:04.0,4.84,5.16,120.54,
975,03:08.9,4.91,5.09,118.52,
1000,03:13.9,4.99,5.02,115.14,
Av,,4.85,5.18,117.56,
