Race,,Dist,500m,Time,01:45.5
Split,Time,Secs,Vel,SR,
25,6.65,6.65,3.76,138,
50,11.30,4.65,5.37,138,
75,15.98,4.68,5.34,135,
100,20.80,4.82,5.18,129,
125,25.75,4.95,5.06,126,
150,30.81,5.06,4.94,121,
175,35.96,5.15,4.86,120,
200,41.16,5.20,4.8,118,
225,46.43,5.26,4.75,119,
250,51.65,5.22,4.79,120,
275,56.93,5.29,4.73,118,
300,01:02.2,5.31,4.71,121,
325,01:07.5,5.25,4.76,124,
350,01:12.8,5.33,4.69,122,
375,01:18.2,5.36,4.66,123,
400,01:23.6,5.40,4.63,122,
425,01:29.0,5.44,4.6,121,
450,01:34.5,5.51,4.54,120,
475,01:40.0,5.49,4.55,121,
500,01:45.6,5.53,4.52,118,
Av,,5.28,4.76,124,
