Race,,Dist,1000,Time,03:32.5
Split,Time,Secs,Vel,SR,
25,6.39,6.39,3.91,122.45,
50,10.86,4.47,5.6,122.45,
75,15.41,4.55,5.5,115.38,
100,20.12,4.72,5.3,110.85,
125,24.96,4.84,5.17,110.53,
150,29.93,4.96,5.04,105.49,
175,34.97,5.04,4.96,103.45,
200,40.06,5.09,4.91,105.03,
225,45.17,5.11,4.89,103.45,
250,50.27,5.1,4.9,102.44,
275,55.45,5.18,4.83,101.91,
300,01:00.7,5.27,4.74,102.13,
325,01:06.0,5.29,4.73,100.42,
350,01:11.4,5.36,4.66,99.38,
375,01:16.8,5.42,4.62,98.36,
400,01:22.2,5.38,4.64,97,
425,01:27.6,5.46,4.58,100,
450,01:33.0,5.37,4.65,99.38,
475,01:38.5,5.49,4.56,97.76,
500,01:44.0,5.47,4.57,100.21,
525,01:49.4,5.46,4.58,97.17,
550,01:54.9,5.45,4.59,96.77,
575,02:00.4,5.49,4.55,97.96,
600,02:05.8,5.44,4.59,96.97,
625,02:11.4,5.56,4.49,96.97,
650,02:17.0,5.61,4.45,97.56,
675,02:22.5,5.56,4.5,96.97,
700,02:28.1,5.51,4.54,96.97,
725,02:33.7,5.6,4.46,97.36,
750,02:39.2,5.52,4.53,98.77,
775,02:44.6,5.45,4.59,99.17,
800,02:50.1,5.46,4.58,97.36,
825,02:55.6,5.5,4.55,98.56,
850,03:01.0,5.46,4.58,101.48,
875,03:06.4,5.37,4.66,101.91,
900,03:11.6,5.23,4.78,105.26,
925,03:16.8,5.15,4.86,107.14,
950,03:22.0,5.24,4.77,108.11,
975,03:27.2,5.14,4.87,107.62,
1000,03:32.5,5.36,4.66,103.67,
Av,,5.31,4.72,102.55,
